Organism,Reference,Similarity_Score,Novelty_score,Cluster_Rank,BGC_Type,Compounds,Matched_Organism,Habitat,Source
Aureobasidium pullulans var. aubasidianus,BGC0001420.4,0.27,0.73,167,"NRPS, PKS",myxochromide D,Hyalangium minutum,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000062.4,0.27,0.73,168,PKS,"Fumonisin B1, Fumonisin B2, Fumonisin B3",Fusarium verticillioides,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002381.3,0.27,0.73,169,"PKS, other (other)",tambjamine BE-18591,Streptomyces albus subsp. albus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002267.2,0.27,0.73,170,PKS,"azasperpyranone A, azasperpyranone B, azasperpyranone C, azasperpyranone D, azasperpyranone E, azasperpyranone F, azasperpyranone G, azasperpyranone H",Aspergillus terreus NIH2624,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001562.5,0.27,0.73,171,NRPS,curacomycin,Streptomyces curacoi,Coral Reef,antiSMASH
Colwellia psychrerythraea 34H,BGC0000120.5,0.27,0.73,172,PKS,patulin,Penicillium expansum,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001687.3,0.27,0.73,173,other (other),N-tetradecanoyl tyrosine,uncultured bacterium CSL12,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001426.4,0.27,0.73,174,"NRPS, PKS",myxochromide A,Myxococcus xanthus,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001424.4,0.27,0.73,175,"NRPS, PKS",myxochromide C,Myxococcus virescens,Arctic Ocean,antiSMASH
Rubritalea marina DSM 17732,BGC0001155.5,0.27,0.73,176,ribosomal,GE2270,Planobispora rosea,Coral reef,antiSMASH
Rubritalea marina DSM 17733,BGC0001540.5,0.27,0.73,177,other (other),CC-1065,Streptomyces zelensis,Coral reef,antiSMASH
Rubritalea marina DSM 17734,BGC0000604.4,0.27,0.73,178,ribosomal,GE2270A,Nonomuraea sp. WU8817,Coral reef,antiSMASH
Rubritalea marina DSM 17749,BGC0000636.3,0.27,0.73,179,terpene,carotenoid,Brevibacterium linens,Coral reef,antiSMASH
Rubritalea marina DSM 17750,BGC0000668.5,0.27,0.73,180,"other (other), terpene","12-epi-hapalindole C isonitrile, 12-epi-hapalindole E, 12-epi-fischerindole U isonitrile, fischerindole L, 12-epi-fischerindole I isonitrile, welwitindolinone A isonitrile, welwitindolinone B isothiocyanate, welwitindolinone C isothiocyanate, N-methylwelwitindolinone C isothiocyanate, N-methylwelwitinsolinone C isonitrile, 3-epi-welwitindolinone B isothiocyanate, 3-(Z-2'-isocyanoethenyl)-indole",Hapalosiphon welwitschii UTEX B 1830,Coral reef,antiSMASH
Rubritalea marina DSM 17751,BGC0000632.5,0.27,0.73,181,"saccharide, terpene",brasilicardin A,Nocardia terpenica,Coral reef,antiSMASH
Rubritalea marina DSM 17752,BGC0001227.3,0.27,0.73,182,terpene,isorenieratene,Streptomyces collinus Tu 365,Coral reef,antiSMASH
Penicillium citrinum ,BGC0000894.4,0.27,0.73,183,other (other),citrinin,Monascus aurantiacus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001220.4,0.27,0.73,184,NRPS,aculeacin A,Aspergillus japonicus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001035.5,0.27,0.73,185,"NRPS, PKS","pneumocandin B0, pneumocandin A0",Glarea lozoyensis ATCC 20868,Mangrove sediment,antiSMASH
Thalassiosira pseudonana,BGC0001314.3,0.27,0.73,186,terpene,tirucalla,Arabidopsis thaliana,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0000236.5,0.27,0.73,187,PKS,kinamycin,Streptomyces murayamaensis,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0000174.5,0.27,0.73,188,PKS,bryostatin,Candidatus Endobugula sertula,Open ocean (photic zone),antiSMASH
Cladosporium halotolerans,BGC0002303.3,0.27,0.73,189,ribosomal,pristinin A3,Streptomyces pristinaespiralis,Coastal sea water,antiSMASH
Haloarchaeobius amylolyticus,BGC0000243.4,0.27,0.73,190,PKS,"nonactin, monactin, dinactin, trinactin, tetranactin",Streptomyces griseus subsp. griseus,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000648.3,0.27,0.73,191,terpene,carotenoid,Myxococcus xanthus,Marine solar saltern,antiSMASH
Tropicibacter alexandrii,BGC0001154.3,0.27,0.73,192,other (other),cacibiocin B,Catenulispora acidiphila DSM 44928,Marine Dinoflagellate,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001109.4,0.28,0.72,193,"NRPS, PKS",pederin,unidentified unclassified sequences.,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001890.3,0.28,0.72,194,NRPS,"Amphi-enterobactin 1, amphi-enterobactin 2, amphi-enterobactin 3, amphi-enterobactin 4",Vibrio campbellii ATCC BAA-1116,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000221.5,0.28,0.72,195,PKS,erdacin,uncultured soil bacterium V167,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001727.3,0.28,0.72,196,ribosomal,paenilan,Paenibacillus polymyxa E681,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000559.4,0.28,0.72,197,ribosomal,subtilin,Bacillus subtilis subsp. spizizenii ATCC 6633,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000535.4,0.28,0.72,198,ribosomal,nisin A,Lactococcus lactis subsp. lactis,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000537.3,0.28,0.72,199,ribosomal,nisin U,Streptococcus uberis,Coral reef,antiSMASH
Marinobacter nauticus,BGC0002387.2,0.28,0.72,200,PKS,yangpumicin A,Micromonospora yangpuensis,Seawater layers,antiSMASH
Shewanella piezotolerans WP14,BGC0001281.3,0.28,0.72,201,PKS,ustilagic acid,Ustilago maydis 521,Deep sea ,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001423.4,0.28,0.72,202,"NRPS, PKS",myxochromide C,Myxococcus hansupus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001421.4,0.28,0.72,203,"NRPS, PKS",myxochromide B,Myxococcus sp.,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001242.3,0.28,0.72,204,PKS,oxyjavanicin,Fusarium fujikuroi,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002209.2,0.28,0.72,205,PKS,ustethylin A,Aspergillus ustus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001298.4,0.28,0.72,206,PKS,"4-Z-annimycin, 4-E-annimycin",Streptomyces calvus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001636.4,0.28,0.72,207,NRPS,KK-1,Curvularia clavata,Coral Reef,antiSMASH
Rubritalea marina DSM 17731,BGC0000466.5,0.28,0.72,208,NRPS,yatakemycin,Streptomyces sp. TP-A2060,Coral reef,antiSMASH
Penicillium citrinum ,BGC0001722.3,0.28,0.72,209,PKS,aspernidine A,Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002409.3,0.28,0.72,210,NRPS,"frankobactin A1, frankobactin A2, frankobactin A3, frankobactin B1, frankobactin B2, frankobactin B3, frankobactin C1",Frankia sp. CH37,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001954.2,0.28,0.72,211,"NRPS, PKS","wortmanamide A, wortmanamide B",Talaromyces wortmannii,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001047.4,0.28,0.72,212,"NRPS, PKS",syringolin A,Pseudomonas syringae,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001122.4,0.28,0.72,213,"NRPS, PKS","dihydroisoflavipucine, isoflavipucine",Aspergillus terreus NIH2624,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000160.3,0.28,0.72,214,PKS,terreic acid,Aspergillus terreus NIH2624,Mangrove sediment,antiSMASH
Thalassiosira pseudonana,BGC0000168.5,0.28,0.72,215,PKS,viridicatumtoxin,Penicillium aethiopicum,Open ocean (photic zone),antiSMASH
Geobacillus kaustophilus,BGC0002425.3,0.28,0.72,216,ribosomal,stlassin,Streptomyces sp.,Deep ocean thermophile,antiSMASH
Cladosporium halotolerans,BGC0001996.2,0.28,0.72,217,other (other),"oryzine A, oryzine B",Aspergillus oryzae RIB40,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001592.5,0.28,0.72,218,other (other),"ferroverdin, bagremycin",Streptomyces lunaelactis,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000686.3,0.28,0.72,219,terpene,helvolic acid,Aspergillus fumigatus Af293,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001996.2,0.28,0.72,220,other (other),"oryzine A, oryzine B",Aspergillus oryzae RIB40,Coastal sea water,antiSMASH
Haloarchaeobius amylolyticus,BGC0000665.5,0.28,0.72,221,"other (other), terpene","xiamycin, indosespene, sespenine, dixiamycin A, dixiamycin B, sulfadixiamycin A, sulfadixiamycin B, sulfadixiamycin C",Streptomyces sp. HKI0576,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000761.5,0.28,0.72,222,saccharide,exopolysaccharide,Methylobacillus sp. 12S,Marine solar saltern,antiSMASH
Pyrococcus furiosus DSM 3638,BGC0000132.3,0.28,0.72,223,PKS,pyrrolomycin,Streptomyces sp. UC 11065,Marine sediment,antiSMASH
Natranaerroarchaeum aerophilua,BGC0001594.3,0.28,0.72,224,other (other),fischerindole L,Fischerella muscicola UTEX 1829,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0002604.2,0.28,0.72,225,PKS,sartorypyrone A,Aspergillus felis,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0001797.3,0.28,0.72,226,ribosomal,telomestatin,Streptomyces anulatus,Hypersaline lake,antiSMASH
Tropicibacter alexandrii,BGC0002137.3,0.28,0.72,227,PKS,"mutaxanthene A, mutaxanthene B, mutaxanthene D",Streptomyces sp. NRRL F-3213,Marine Dinoflagellate,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000869.5,0.29,0.71,228,other (other),heterocyst glycolipids,Nostoc sp. 'Peltigera membranacea cyanobiont',Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000506.4,0.29,0.71,229,ribosomal,entianin,Bacillus subtilis subsp. spizizenii,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000556.5,0.29,0.71,230,ribosomal,streptin,Streptococcus pyogenes,Coral reef,antiSMASH
Shewanella piezotolerans WP47,BGC0000506.4,0.29,0.71,231,ribosomal,entianin,Bacillus subtilis subsp. spizizenii,Deep sea ,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000507.5,0.29,0.71,232,ribosomal,epicidin,Staphylococcus epidermidis,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002278.3,0.29,0.71,233,"NRPS, other (other)","brasiliamide I, brasiliamide A, brasiliamide B, 2,2-dibenzylpiperazine, brasiliamide D",Penicillium brasilianum,Coral Reef,antiSMASH
Colwellia psychrerythraea 34H,BGC0001610.5,0.29,0.71,234,other (other),gougerotin,Streptomyces ahygroscopicus subsp. wuzhouensis,Arctic Ocean,antiSMASH
Rubritalea marina DSM 17722,BGC0000874.5,0.29,0.71,235,other (other),blasticidin S,Streptomyces griseochromogenes,Coral reef,antiSMASH
Rubritalea marina DSM 17723,BGC0001126.4,0.29,0.71,236,"other (other), terpene","12-epi-hapalindole J isonitrile, ambiguine A isonitrile, ambiguine B isonitrile, ambiguine C isonitrile, ambiguine D isonitrile, ambiguine E isonitrile, ambiguine K isonitrile, ambiguine L isonitrile, ambiguine I isonitrile, ambiguine J isonitrile",Fischerella ambigua UTEX 1903,Coral reef,antiSMASH
Rubritalea marina DSM 17724,BGC0001501.5,0.29,0.71,237,other (other),ambiguine P,Fischerella sp. TAU,Coral reef,antiSMASH
Rubritalea marina DSM 17725,BGC0001612.3,0.29,0.71,238,other (other),ambiguine H isonitrile,Fischerella ambigua UTEX 1903,Coral reef,antiSMASH
Rubritalea marina DSM 17748,BGC0001910.4,0.29,0.71,239,terpene,"cyslabdan A, cyslabdan B, cyslabdan C",Streptomyces cyslabdanicus,Coral reef,antiSMASH
Penicillium citrinum ,BGC0001264.3,0.29,0.71,240,PKS,"betaenone A, betaenone B, betaenone C",Phoma betae,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001278.4,0.29,0.71,241,terpene,T-2 toxin,Fusarium sporotrichioides,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002694.2,0.29,0.71,242,other (other),roseobactin,Phaeobacter inhibens 2.10,Mangrove sediment,antiSMASH
Thalassiosira pseudonana,BGC0000877.5,0.29,0.71,243,other (other),"polyoxin A, polyoxin H",Streptomyces cacaoi subsp. asoensis,Open ocean (photic zone),antiSMASH
Geobacillus kaustophilus,BGC0002747.3,0.29,0.71,244,ribosomal,lentinulin A,Lentinula edodes,Deep ocean thermophile,antiSMASH
Cladosporium halotolerans,BGC0002222.2,0.29,0.71,245,PKS,zopfiellin,Diffractella curvata,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002722.2,0.29,0.71,246,"other (other), saccharide, terpene","α-chaconine, α-solanine",Solanum tuberosum,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002286.3,0.29,0.71,247,NRPS,"ririwpeptide A, ririwpeptide B, ririwpeptide C",Photorhabdus laumondii subsp. laumondii TTO1,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000342.4,0.29,0.71,248,NRPS,enniatin,Fusarium equiseti,Coastal sea water,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000286.3,0.29,0.71,249,PKS,viguiepinol,Streptomyces sp. KO-3988,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000249.5,0.29,0.71,250,PKS,nogalamycin,Streptomyces nogalater,Hypersaline lake,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000044.3,0.3,0.7,251,PKS,dawenol,Stigmatella aurantiaca DW4/3-1,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000515.4,0.3,0.7,252,ribosomal,geobacillin I,Geobacillus thermodenitrificans NG80-2,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000310.5,0.3,0.7,253,NRPS,bacitracin,Bacillus licheniformis,Coral reef,antiSMASH
Marinobacter nauticus,BGC0000913.3,0.3,0.7,254,other (other),MK-8,Enterobacter cloacae,Seawater layers,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001923.3,0.3,0.7,255,"PKS, terpene",ascochlorin,Acremonium egyptiacum,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002209.2,0.3,0.7,256,PKS,ustethylin A,Aspergillus ustus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002734.2,0.3,0.7,257,PKS,"2,4-dihydroxy-5,6-dimethyl benzaldehyde",Aspergillus terreus NIH2624,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001544.3,0.3,0.7,258,"NRPS, PKS",chlorflavonin,Aspergillus campestris IBT 28561,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002190.2,0.3,0.7,259,PKS,"sorbicillin, 2'3'-dihydrosorbicillin, sorbicillinol, oxosorbicillinol, bisvertinolone (spelled bisvertinolon in paper), dihydrobisvertinolone, tetrahydrobisvertinolone, bisorbicillinol, 2'3'-dihydrosorbicillinol",Acremonium chrysogenum ATCC 11550,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000048.3,0.3,0.7,260,PKS,dothistromin,Dothistroma septosporum,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001976.3,0.3,0.7,261,terpene,eupenifeldin,Phoma sp.,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001338.4,0.3,0.7,262,PKS,citrinin,Monascus ruber,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000088.4,0.3,0.7,263,PKS,lovastatin,Aspergillus terreus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000676.5,0.3,0.7,264,terpene,"aphidicolin, aphidicolan-16β-ol, 3-deoxyaphidicolin, 17-deoxyaphidicolin",Phoma betae,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001440.5,0.3,0.7,265,other (other),"cystargolide A, cystargolide B",Kitasatospora cystarginea,Coral Reef,antiSMASH
Rubritalea marina DSM 17721,BGC0001594.3,0.3,0.7,266,other (other),fischerindole L,Fischerella muscicola UTEX 1829,Coral reef,antiSMASH
Penicillium citrinum ,BGC0001720.3,0.3,0.7,267,PKS,oosporein,Beauveria bassiana ARSEF 2860,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001562.5,0.3,0.7,268,NRPS,curacomycin,Streptomyces curacoi,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002611.2,0.3,0.7,269,NRPS,mulundocandin,Aspergillus mulundensis,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001371.4,0.3,0.7,270,NRPS,echinocandin B,Aspergillus nidulans NRRL 8112,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001277.4,0.3,0.7,271,terpene,"15-acetyldeoxynivalenol, 3-decalonectrin",Fusarium graminearum,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000938.5,0.3,0.7,272,other (aminocoumarin),fosfomycin,Streptomyces fradiae,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002036.4,0.3,0.7,273,other (other),dehydrofosmidomycin,Streptomyces lavendulae,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000170.3,0.3,0.7,274,PKS,yanuthone D,Aspergillus niger ATCC 1015,Mangrove sediment,antiSMASH
Thalassiosira pseudonana,BGC0002019.3,0.3,0.7,275,terpene,"tiancilactone A, tiancilactone B, tiancilactone C, tiancilactone D, tiancilactone E, tiancilactone F, tiancilactone G, tiancilactone H",Streptomyces sp. CB03234,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0000197.5,0.3,0.7,276,"PKS, saccharide",aranciamycin,Streptomyces echinatus,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0000676.5,0.3,0.7,277,terpene,"aphidicolin, aphidicolan-16β-ol, 3-deoxyaphidicolin, 17-deoxyaphidicolin",Phoma betae,Open ocean (photic zone),antiSMASH
Halorubrum lacusprofundi ATCC 49260,BGC0001146.5,0.3,0.7,278,ribosomal,cyclothiazomycin C,Streptomyces sp. NRRL WC-3908,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49261,BGC0001753.3,0.3,0.7,279,ribosomal,"radamycin, globimycin",Streptomyces globisporus subsp. globisporus,Antarctic hypersaline,antiSMASH
Cladosporium halotolerans,BGC0002190.2,0.3,0.7,280,PKS,"sorbicillin, 2'3'-dihydrosorbicillin, sorbicillinol, oxosorbicillinol, bisvertinolone (spelled bisvertinolon in paper), dihydrobisvertinolone, tetrahydrobisvertinolone, bisorbicillinol, 2'3'-dihydrosorbicillinol",Acremonium chrysogenum ATCC 11550,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001404.3,0.3,0.7,281,PKS,sorbicillin,Penicillium rubens Wisconsin 54-1255,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000662.5,0.3,0.7,282,terpene,grixazone A,Streptomyces griseus subsp. griseus NBRC 13350,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002062.2,0.3,0.7,283,PKS,"agnestin A, agnestin B",Paecilomyces divaricatus,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002177.2,0.3,0.7,284,PKS,"ustilaginoidin N, ustilaginoidin O, ustilaginoidin M, ustilaginoidin A, ustilaginoidin F, ustilaginoidin E, ustilaginoidin D, ustilaginoidin G",Ustilaginoidea virens,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002492.3,0.3,0.7,285,NRPS,"myxochelin B, myxochelin A",Myxococcus xanthus DK 1622,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000983.5,0.3,0.7,286,"NRPS, PKS","cytochalasin E, cytochalasin K",Aspergillus clavatus NRRL 1,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000671.3,0.3,0.7,287,terpene,momilactone B,Oryza sativa Japonica Group,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000307.4,0.3,0.7,288,NRPS,AbT1,Aureobasidium pullulans,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001132.4,0.3,0.7,289,NRPS,xenotetrapeptide,Xenorhabdus nematophila ATCC 19061,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001166.5,0.3,0.7,290,NRPS,HC-toxin,Alternaria jesenskae,Coastal sea water,antiSMASH
Haloarchaeobius amylolyticus,BGC0001529.5,0.3,0.7,291,other (other),"benzastatin J, 7-hydroxyl benzastatin B, 7-hydroxyl O-demethylbenzastatin A, JBIR-67, 7-hydroxyl benzastatin F, 7-hydroxyl O-demethylbenzastatin D, O-demethylvirantmycin, 7-hydroxyl benzastatin D, virantmycin, benzastatin K, methylbenzastatin K",Streptomyces sp. RI18,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0001797.3,0.3,0.7,292,ribosomal,telomestatin,Streptomyces anulatus,Marine solar saltern,antiSMASH
Tropicibacter alexandrii,BGC0000652.5,0.3,0.7,293,terpene,napyradiomycin,Streptomyces sp. CNQ525,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0001079.5,0.3,0.7,294,"PKS, terpene","napyradiomycin A80915C, napyradiomycin 2, napyradiomycin 3, napyradiomycin 4",Streptomyces aculeolatus,Marine Dinoflagellate,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000205.3,0.31,0.69,295,PKS,bryostatin,Candidatus Endobugula sertula,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000770.4,0.31,0.69,296,saccharide,lipo-oligosaccharide,Campylobacter jejuni,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0002575.2,0.31,0.69,297,ribosomal,cochonodin I,Streptococcus suis,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000527.5,0.31,0.69,298,ribosomal,mersacidin,Bacillus sp. HIL-Y85/54728,Coral reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000161.4,0.31,0.69,299,PKS,isoterrein,Aspergillus terreus NIH2624,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000101.5,0.31,0.69,300,PKS,"emodin, monodictyphenone, shamixanthone",Aspergillus nidulans FGSC A4,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002747.3,0.31,0.69,301,ribosomal,lentinulin A,Lentinula edodes,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002594.2,0.31,0.69,302,PKS,"orcinol, orsellinic acid",Fusarium graminearum PH-1,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001510.5,0.31,0.69,303,other (other),anisomycin,Streptomyces hygrospinosus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002568.2,0.31,0.69,304,other (other),Ethylenediaminesuccinic acid hydroxyarginine,Streptomyces scabiei 87.22,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001446.5,0.31,0.69,305,PKS,asparasone A,Aspergillus flavus NRRL3357,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000686.3,0.31,0.69,306,terpene,helvolic acid,Aspergillus fumigatus Af293,Coral Reef,antiSMASH
